City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Prieska,ZA,84.52,clear sky,-29.6641,22.7474,Avenue GuestHouse
251,Bandarbeyla,SO,74.7,clear sky,9.4942,50.8122,JABIR HOTEL
252,Mareeba,AU,77.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
255,Kerema,PG,75.65,overcast clouds,-7.9631,145.7785,Frena Lodge
259,Bengkulu,ID,75.85,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
260,Olavarria,AR,79.02,broken clouds,-36.8927,-60.3225,Hotel Santa Rosa
263,Vila Velha,BR,89.01,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
266,Cap Malheureux,MU,81.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
272,Aquiraz,BR,86.0,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
280,Camopi,GF,78.78,broken clouds,3.1655,-52.3158,
283,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
285,Am Timan,TD,82.51,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
286,Oudtshoorn,ZA,71.6,broken clouds,-33.5907,22.2014,Earthbound Guest House
288,Ellisras,ZA,81.36,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
291,Sri Aman,MY,77.0,light rain,1.2376,111.4621,Seri Simanggang Hotel
292,Sao Jose Da Coroa Grande,BR,82.58,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
293,Kabalo,CD,72.95,light rain,-6.05,26.9167,
299,Cidreira,BR,82.47,overcast clouds,-30.1811,-50.2056,Hotel Castelo
301,Kaura Namoda,NG,79.57,scattered clouds,12.5898,6.5779,Moonlight Hotel
304,Karema,TZ,74.62,light rain,-6.8205,30.4389,
305,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu House
309,Fort Beaufort,ZA,70.16,clear sky,-32.7748,26.6338,iNK Conference Centre
310,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
311,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
312,Eydhafushi,MV,82.69,scattered clouds,5.1033,73.0708,Soneva Fushi
314,Vanimo,PG,77.63,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
317,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
324,Miandrivazo,MG,82.08,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
329,Tocache,PE,89.13,broken clouds,-8.1842,-76.5125,Hotel Ortiz
331,Sibu,MY,77.0,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
333,Meulaboh,ID,76.53,broken clouds,4.1363,96.1285,Kost Pria
334,Comodoro Rivadavia,AR,73.4,scattered clouds,-45.8667,-67.5,Austral Hotel
339,Thinadhoo,MV,82.65,overcast clouds,0.5333,72.9333,
340,Sandakan,MY,80.6,few clouds,5.8402,118.1179,Hotel Sandakan
341,Champerico,GT,89.6,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
344,Kavieng,PG,83.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
345,Sao Filipe,CV,76.1,clear sky,14.8961,-24.4956,Tortuga B&B
348,Adrar,MR,77.04,few clouds,20.5022,-10.0711,
353,Baillif,GP,82.4,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
358,San Pedro,PH,75.2,broken clouds,14.35,121.0167,OYO 412 Viewfort Venue
361,Goundam,ML,80.35,overcast clouds,16.4145,-3.6708,
366,Atar,MR,84.16,broken clouds,20.5169,-13.0499,Oumou Elghoura
370,Dingle,PH,72.9,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
374,Townsville,AU,77.0,overcast clouds,-19.25,146.8,Rydges Southbank Townsville
376,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
380,Mount Isa,AU,80.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
381,Bodden Town,KY,84.2,scattered clouds,19.2833,-81.25,Will T Place
385,Hithadhoo,MV,82.74,overcast clouds,-0.6,73.0833,Scoop Guest House
386,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
388,Takoradi,GH,81.3,overcast clouds,4.8845,-1.7554,Raybow International Hotel
389,Gravata,BR,84.51,broken clouds,-8.2011,-35.5647,Hotel Porto da Serra
390,Vice,PE,87.75,clear sky,-5.4167,-80.7833,Hospedaje San Jacinto
391,Alofi,NU,75.2,overcast clouds,-19.0595,-169.9187,Taloa Heights
393,Marovoay,MG,80.6,few clouds,-16.1,46.6333,
394,Robertsport,LR,81.5,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
397,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
398,Celestun,MX,79.9,scattered clouds,20.8667,-90.4,Posada Lilia
399,Sinnamary,GF,80.62,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
402,Huejuquilla El Alto,MX,75.47,clear sky,22.6,-103.8667,Hotel Huexuquillan
404,Isangel,VU,78.33,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
406,Broken Hill,AU,73.4,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
409,Ankpa,NG,85.44,few clouds,7.3706,7.6253,AA Suites
410,Beaufort,MY,80.6,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
413,San Andres,CO,84.2,few clouds,12.5847,-81.7006,Hotel Arena Blanca
415,Manjeshwar,IN,80.6,clear sky,12.7194,74.8861,Baithul Hidaya
416,Mitsamiouli,KM,82.67,scattered clouds,-11.3847,43.2844,Foyer ADM
418,Upington,ZA,86.0,clear sky,-28.4478,21.2561,River Place Manor
419,Nouakchott,MR,89.6,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
423,Labuhan,ID,78.24,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
424,Hambantota,LK,77.76,scattered clouds,6.1241,81.1185,Bungalow 63
426,Jega,NG,83.14,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
433,Salgueiro,BR,89.92,overcast clouds,-8.0742,-39.1192,Hotel Polo
435,Port Keats,AU,76.26,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
436,Padang,ID,77.61,light rain,-0.9492,100.3543,Mercure Padang
439,Isla Mujeres,MX,80.6,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
444,Miraflores,MX,75.2,clear sky,19.2167,-98.8083,Hotel Mansión
445,Auki,SB,79.97,overcast clouds,-8.7676,160.7034,Auki Motel
448,Inirida,CO,84.51,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
452,Clarence Town,AU,71.6,overcast clouds,-32.5833,151.7833,River Downs Cottage
456,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
457,Adre,TD,74.21,clear sky,13.4667,22.2,
460,Moratuwa,LK,77.0,few clouds,6.773,79.8816,Sa Mansion By Yoho
463,Puerto Suarez,BO,87.8,scattered clouds,-18.95,-57.8,Hotel casa real
465,Port Moresby,PG,73.4,heavy intensity rain,-9.4431,147.1797,Lamana Hotel
466,Kiunga,PG,73.45,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
471,Kahului,US,71.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
472,Namibe,AO,74.28,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
473,Kralendijk,BQ,84.2,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
475,Guanica,PR,82.0,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
479,Matara,LK,75.52,clear sky,5.9485,80.5353,Amaloh Boutique Resort
485,Tarauaca,BR,72.43,overcast clouds,-8.1614,-70.7656,Flat Temporada
491,Maldonado,UY,73.4,light rain,-34.6667,-54.9167,La Cimarrona
496,Malinyi,TZ,76.3,overcast clouds,-8.9333,36.1333,
499,Gladstone,AU,73.4,light rain,-23.85,151.25,Highpoint International
505,Samarai,PG,82.27,broken clouds,-10.6167,150.6667,Nuli Sapi
519,Sungairaya,ID,77.05,overcast clouds,0.7,108.9,Mess P.Milu
521,Saquena,PE,80.42,broken clouds,-4.6667,-73.5167,
525,Nacozari,MX,75.99,scattered clouds,25.3366,-108.2574,
533,Ikalamavony,MG,72.14,light rain,-21.15,46.5833,
535,Iquitos,PE,77.0,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
539,Gigmoto,PH,76.26,overcast clouds,13.7796,124.39,Cj's Travellers Inn
541,Tabou,CI,80.19,moderate rain,4.423,-7.3528,hotêl doufoulougou
544,Beruwala,LK,76.78,overcast clouds,6.4788,79.9828,The Palms Hotel
546,Barra Patuca,HN,80.65,few clouds,15.8,-84.2833,
547,Key West,US,78.8,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
551,Amahai,ID,78.84,light rain,-3.3333,128.9167,HOTEL ISABELA
552,Poum,NC,79.09,overcast clouds,-20.2333,164.0167,Gîte kajeon
555,Palm Coast,US,75.2,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
557,Port Hedland,AU,77.0,light rain,-20.3167,118.5667,The Esplanade Hotel
559,Wamba,NG,83.61,clear sky,8.9333,8.6,Roma Zee Guest House Annex
566,Humberto De Campos,BR,86.41,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
568,Richards Bay,ZA,78.39,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
