City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Hithadhoo,-0.6,73.0833,81.41,78,98,15.88,MV,2021-01-27 23:28:24
67,Copiapo,-27.3667,-70.3333,62.6,82,90,10.36,CL,2021-01-27 23:32:50
68,Nuevo Progreso,23.1667,-97.95,71.01,37,48,5.99,MX,2021-01-27 23:32:50
69,Bonthe,7.5264,-12.505,77.16,87,0,6.53,SL,2021-01-27 23:32:50
70,Guia Lopes Da Laguna,-21.4578,-56.1142,74.86,90,89,3.67,BR,2021-01-27 23:32:50
71,Clyde River,70.4692,-68.5914,-14.8,76,1,2.3,CA,2021-01-27 23:32:50
72,San Vicente De Canete,-13.0751,-76.3835,71.31,79,35,3.74,PE,2021-01-27 23:32:50
73,Abhar,36.1468,49.218,34.83,75,89,2.95,IR,2021-01-27 23:31:23
74,Aswan,24.0934,32.907,58.87,31,0,7.99,EG,2021-01-27 23:29:16
75,Rawson,-43.3002,-65.1023,67.32,39,87,11.39,AR,2021-01-27 23:28:25
76,Avarua,-21.2078,-159.775,87.8,62,66,18.41,CK,2021-01-27 23:32:51
77,Albany,42.6001,-73.9662,28.99,60,86,11.01,US,2021-01-27 23:32:03
78,Hobart,-42.8794,147.3294,60.01,47,90,8.05,AU,2021-01-27 23:32:51
79,Faanui,-16.4833,-151.75,81.55,73,2,13.15,PF,2021-01-27 23:32:51
80,Port-Gentil,-0.7193,8.7815,78.8,89,75,2.3,GA,2021-01-27 23:32:52
81,Khash,28.2211,61.2158,35.42,57,0,1.88,IR,2021-01-27 23:28:44
82,Mayo,38.8876,-76.5119,39.2,60,75,8.05,US,2021-01-27 23:32:52
83,Seoul,37.5683,126.9778,32.0,64,0,6.91,KR,2021-01-27 23:32:44
84,Alofi,-19.0595,-169.9187,80.6,83,75,9.22,NU,2021-01-27 23:32:53
85,Valparaiso,-33.0393,-71.6273,73.4,38,0,16.11,CL,2021-01-27 23:31:54
86,Tiksi,71.6872,128.8694,-35.39,82,99,2.13,RU,2021-01-27 23:28:22
87,Milkovo,54.7167,158.6167,6.82,89,0,0.49,RU,2021-01-27 23:32:53
88,Staryy Nadym,65.6118,72.6842,-34.58,81,95,5.77,RU,2021-01-27 23:32:53
89,Flinders,-34.5833,150.8552,72.0,68,88,5.01,AU,2021-01-27 23:32:53
90,Sao Filipe,14.8961,-24.4956,73.8,69,0,4.94,CV,2021-01-27 23:32:53
91,Magadan,59.5667,150.8,-12.93,80,0,9.53,RU,2021-01-27 23:32:53
92,Kut Chap,17.4257,102.5669,69.01,70,17,4.72,TH,2021-01-27 23:32:53
93,Najran,17.4924,44.1277,53.6,43,0,1.92,SA,2021-01-27 23:32:54
94,Meulaboh,4.1363,96.1285,75.15,83,99,4.83,ID,2021-01-27 23:32:55
95,Sorong,-0.8833,131.25,82.31,79,100,10.67,ID,2021-01-27 23:32:55
96,Huarmey,-10.0681,-78.1522,71.82,79,100,8.72,PE,2021-01-27 23:32:55
97,La Romana,18.4273,-68.9728,75.2,88,20,4.61,DO,2021-01-27 23:30:38
98,Sibolga,1.7427,98.7792,74.5,75,100,4.61,ID,2021-01-27 23:32:55
99,Manggar,-2.8833,108.2667,78.76,83,100,10.83,ID,2021-01-27 23:32:56
100,Marawi,7.9986,124.2928,71.01,84,97,7.0,PH,2021-01-27 23:29:56
101,Bitkine,11.9801,18.2138,69.42,19,3,8.1,TD,2021-01-27 23:32:56
102,Jaque,7.5175,-78.1703,79.47,84,69,6.62,PA,2021-01-27 23:32:56
103,San Jose,37.3394,-121.895,48.2,81,90,25.32,US,2021-01-27 23:30:06
104,Kaitangata,-46.2817,169.8464,52.0,75,81,17.0,NZ,2021-01-27 23:32:56
105,Elizabeth City,36.2946,-76.2511,44.6,70,90,6.91,US,2021-01-27 23:28:07
106,Changji,44.0167,87.3167,1.4,85,75,2.24,CN,2021-01-27 23:32:57
107,Ulladulla,-35.35,150.4667,69.01,73,90,10.36,AU,2021-01-27 23:32:57
108,Kodiak,57.79,-152.4072,33.8,75,90,4.61,US,2021-01-27 23:32:42
109,Richards Bay,-28.783,32.0377,73.4,95,100,9.4,ZA,2021-01-27 23:29:31
110,Coquimbo,-29.9533,-71.3436,64.4,72,0,13.8,CL,2021-01-27 23:28:59
111,Puri,19.8,85.85,64.4,77,20,7.27,IN,2021-01-27 23:32:57
112,Saint George,37.1041,-113.5841,44.01,49,90,18.41,US,2021-01-27 23:30:33
113,Vostok,46.4856,135.8833,-8.1,89,46,3.74,RU,2021-01-27 23:32:58
114,Lamar,33.6668,-95.5836,43.0,56,1,14.97,US,2021-01-27 23:32:58
