City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sisimiut,GL,66.9395,-53.6735,5.52,83,36,8.59,scattered clouds
80,Russkaya Polyana,UA,49.417,31.9201,27.55,97,100,3.78,overcast clouds
81,Monrovia,LR,6.3005,-10.7969,84.2,79,75,9.22,broken clouds
82,Mahebourg,MU,-20.4081,57.7,80.6,78,40,12.66,scattered clouds
83,Suntar,RU,62.1444,117.6319,-43.49,79,62,2.91,broken clouds
84,Wuwei,CN,37.9281,102.6414,24.89,67,0,5.64,clear sky
85,Hilo,US,19.7297,-155.09,68.0,83,90,9.22,light rain
86,Avarua,CK,-21.2078,-159.775,78.8,89,20,1.14,few clouds
87,Codrington,AU,-38.2667,141.9667,52.05,87,33,7.29,scattered clouds
88,Bilibino,RU,68.0546,166.4372,-14.85,83,100,6.2,overcast clouds
89,Dunedin,NZ,-45.8742,170.5036,60.01,71,100,1.01,overcast clouds
90,Haimen,CN,23.1935,116.6142,55.4,94,11,2.24,few clouds
91,Phan Thiet,VN,10.9333,108.1,71.46,84,100,8.52,overcast clouds
92,Machico,PT,32.7,-16.7667,64.4,77,40,3.44,scattered clouds
93,Torbay,CA,47.6666,-52.7314,33.01,100,90,18.41,light snow
94,Buala,SB,-8.145,159.5921,80.91,81,99,13.53,overcast clouds
95,Urengoy,RU,65.9667,78.3667,-7.83,90,100,14.12,light snow
96,Bocos,PH,16.9265,121.0573,56.23,93,91,1.61,overcast clouds
97,Maceio,BR,-9.6658,-35.7353,86.0,66,40,12.66,scattered clouds
98,Marsa Matruh,EG,31.3525,27.2453,60.8,72,0,5.75,clear sky
99,Coihaique,CL,-45.5752,-72.0662,77.0,29,20,6.91,few clouds
100,Hovd,MN,48.0056,91.6419,5.09,88,0,2.21,clear sky
101,Nikolskoye,RU,59.7035,30.7861,25.0,93,90,8.95,snow
102,Upernavik,GL,72.7868,-56.1549,0.46,92,100,8.72,overcast clouds
103,Nalut,LY,30.3333,10.85,55.85,47,98,14.76,overcast clouds
104,Rio Branco,BR,-9.9747,-67.81,82.4,78,75,8.05,broken clouds
105,Castro,BR,-24.7911,-50.0119,73.36,75,98,10.51,overcast clouds
106,Mookane,BW,-23.688,26.6595,76.21,73,73,5.97,moderate rain
107,General Roca,AR,-39.0333,-67.5833,68.0,60,75,8.05,light rain
108,Punta Arenas,CL,-53.15,-70.9167,57.2,54,0,27.63,clear sky
109,Vardo,NO,70.3705,31.1107,28.4,74,75,16.11,broken clouds
110,Jalu,LY,29.0331,21.5482,66.85,25,0,10.63,clear sky
111,Rio Gallegos,AR,-51.6226,-69.2181,75.2,17,0,21.85,clear sky
112,Puerto Colombia,CO,10.9878,-74.9547,87.8,58,0,16.11,clear sky
113,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,0,8.05,clear sky
114,Mataura,NZ,-46.1927,168.8643,55.4,70,100,1.7,overcast clouds
115,Itoman,JP,26.1247,127.6694,64.4,67,40,5.75,scattered clouds
116,Mercedes,AR,-34.6515,-59.4307,70.0,77,98,1.99,overcast clouds
117,Mugur-Aksy,RU,50.35,90.5,5.14,65,39,3.11,scattered clouds
118,San Vicente De Canete,PE,-13.0751,-76.3835,77.43,58,9,8.41,clear sky
119,Puerto Escondido,MX,15.85,-97.0667,86.0,70,20,8.05,few clouds
120,San Patricio,US,28.017,-97.5169,77.0,23,1,11.5,clear sky
121,Jamestown,US,42.097,-79.2353,30.99,74,90,14.97,overcast clouds
122,Almunecar,ES,36.7339,-3.6907,63.0,67,98,5.99,overcast clouds
123,Surskoye,RU,54.4821,46.7214,33.66,96,96,21.05,snow
124,Najran,SA,17.4924,44.1277,62.6,34,0,2.3,clear sky
125,Georgetown,MY,5.4112,100.3354,80.01,83,20,5.75,few clouds
126,Katsuura,JP,35.1333,140.3,42.8,42,75,8.05,broken clouds
127,Riberalta,BO,-10.9833,-66.1,81.9,83,89,4.0,overcast clouds
128,Pevek,RU,69.7008,170.3133,-26.82,84,79,1.23,broken clouds
129,Kirakira,SB,-10.4544,161.9205,81.34,78,98,16.26,overcast clouds
130,Marawi,PH,7.9986,124.2928,75.0,91,100,2.13,overcast clouds
131,San Giustino,IT,43.5495,12.1736,48.0,82,99,4.29,overcast clouds
132,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,40,12.66,scattered clouds
133,Oistins,BB,13.0667,-59.5333,84.2,58,20,24.16,few clouds
134,Koulikoro,ML,14.0,-7.75,85.06,12,100,8.46,overcast clouds
135,Ahipara,NZ,-35.1667,173.1667,56.71,83,0,2.86,clear sky
136,Fort Dodge,US,42.4975,-94.168,30.2,86,90,10.36,overcast clouds
137,Chateau-Thierry,FR,49.05,3.4,46.99,10,100,4.0,light rain
138,Clyde River,CA,70.4692,-68.5914,-5.8,77,1,4.61,clear sky
